"","x"
"450",-1.12615853166956
"451",-1.12615853166956
"452",-1.12615853166956
"453",-1.12615853166956
"454",-1.12615853166956
"455",-1.12615853166956
"456",-1.12615853166956
"457",-1.12615853166956
"458",-1.12615853166956
"459",-1.12615853166956
"460",-1.12615853166956
"461",-1.12615853166956
"462",-1.12615853166956
"463",-1.12615853166956
"464",-1.12615853166956
"465",-1.12615853166956
"466",-1.12615853166956
"467",-1.12615853166956
"468",-1.12615853166956
"469",0.0169206337455539
"470",0.0169206337455539
"471",-0.463270312160021
"472",-0.463270312160021
"473",-0.463270312160021
"474",-0.197146076599717
"475",-0.01551371630676
"476",1.15658174823524
"477",1.15658174823524
"478",1.21234606633287
"479",1.20521281182046
"480",1.17523080905826
"481",1.23403502592321
"482",1.29592462732006
"483",1.37602974446312
"484",1.19967047136281
"485",1.13518198469799
"486",1.15622975941996
"487",1.19797332004863
"488",1.18591927887501
"489",1.1580902384559
"490",1.19184129081473
"491",1.1696861311475
"492",1.1696861311475
"493",1.25632977747955
"494",1.39247213821639
"495",1.40510327907304
"496",1.21354858905384
"497",1.14906010238902
"498",1.13085685695123
"499",1.11729178491663
"500",1.17584411635347
"501",1.16206152889822
"502",1.21509305505653
"503",1.19457326355747
"504",1.25192849570988
"505",1.36684708731711
"506",1.35666656003709
"507",1.40145739343336
"508",1.24703692988663
"509",1.18254844322181
"510",1.16681398028658
"511",1.11509531186336
"512",1.14686362933576
"513",1.14686362933576
"514",1.20135452925461
"515",-1.12615853166956
"516",-1.12615853166956
"517",-1.12615853166956
"518",-1.12615853166956
"519",-1.12615853166956
"520",-1.12615853166956
"521",-1.12615853166956
"522",-1.12615853166956
"523",-1.12615853166956
"524",-1.12615853166956
"525",-1.12615853166956
"526",-1.12615853166956
"527",-1.12615853166956
"528",-1.12615853166956
"529",-1.12615853166956
"530",-1.12615853166956
"531",-1.12615853166956
"532",-1.12615853166956
"533",-1.12615853166956
"534",-1.12615853166956
"535",-1.12615853166956
"536",-1.12615853166956
"537",-1.12615853166956
"538",-1.12615853166956
"539",-1.12615853166956
"540",-1.12615853166956
